Candidate ID,Employment,YearsCode,DevType,OrgSize,LanguageHaveWorkedWith,LanguageAdmired,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,MiscTechHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,OpSysPersonalUse,AISearchDevHaveWorkedWith,AIBen,AIComplex,AIToolCurrentlyUsing,AIEthics,AIChallenges,ICorPM,WorkExp,Frustration,ProfessionalTech,ProfessionalCloud,Industry,WeeklyAvailabilityHours,PersonalityText
165,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Employed, part-time",8,"Developer, full-stack",2 to 9 employees,HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,Firebase Realtime Database;MongoDB;PostgreSQL;Redis;SQLite,Digital Ocean;Firebase;Google Cloud;Heroku;Netlify;Supabase;Vercel,Astro;Express;FastAPI;Fastify;Flask;Laravel;Next.js;Node.js;React;Vue.js;WordPress,Electron;Hugging Face Transformers;Pandas;React Native;Torch/PyTorch,Docker;Homebrew;Kubernetes;npm;Pip;Vite;Webpack;Yarn,Jupyter Notebook/JupyterLab;Nano;Notepad++;PyCharm;Sublime Text;Visual Studio;Visual Studio Code;VSCodium,Android;MacOS;Ubuntu;Windows,ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency;Speed up learning,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Documenting code;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Imitating a person's likeness,Lack of proper training and education on new tools;Not everyone uses them;We don’t have the right policies in place to reduce security risks,Individual contributor,4.0,Amount of technical debt;Number of software tools in use;Complexity of tech stack for build;Maintaining security of code being produced;Maintaining security of systems/platforms used in work,Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,40+,"In group projects, this is pretty much my style: I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. I get energy from live discussions and prefer to talk things through directly. Clear deadlines motivate me and I try hard to stick to them. I like to help people find common ground and reach a compromise. I’m usually more comfortable supporting whoever is leading and doing my part reliably."
166,"Employed, full-time",7,"Developer, full-stack","10,000 or more employees",C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Cloud Firestore;MongoDB;MySQL;PostgreSQL;SQLite,Digital Ocean;Firebase;Google Cloud;Heroku,Angular;AngularJS;ASP.NET;ASP.NET CORE;Express;FastAPI;jQuery;NestJS;Next.js;Node.js;React;Vue.js,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;RabbitMQ;TensorFlow,Chocolatey;Docker;Google Test;Homebrew;Maven (build tool);npm;NuGet;pnpm;Visual Studio Solution;Webpack;Yarn,IntelliJ IDEA;Rider;Visual Studio;Visual Studio Code;WebStorm,iOS;MacOS,ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency;Make workload more manageable,Neither good or bad at handling complex tasks,Writing code;Documenting code;Testing code;Search for answers;Generating content or synthetic data,Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Not everyone uses them;We don’t have the right policies in place to reduce security risks",Individual contributor,6.0,Showing my contributions;Complexity of tech stack for deployment,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Fintech,20–40,"Here’s how I usually work when I’m in a team. I usually prefer asynchronous communication so I can think before I answer. I prefer shared leadership where responsibilities and decisions are distributed. I’d describe my natural team role as a Plant: I’m creative and enjoy coming up with new ideas. When conflict appears I try to stay calm and avoid unnecessary confrontation. I adapt to the project context: sometimes I’m very strict, sometimes more relaxed."
167,"Employed, full-time;Independent contractor, freelancer, or self-employed",23,"Developer, full-stack",20 to 99 employees,C;Go;HTML/CSS;JavaScript;Prolog;SQL;TypeScript,C;Go;HTML/CSS;Prolog;SQL;TypeScript,Dynamodb;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure,Htmx;Node.js;React;Strapi;Vue.js,.NET (5+) ;OpenGL,Docker;Homebrew;Make;npm;Vite;Webpack;Yarn,Nano;Visual Studio Code,MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),ChatGPT,Increase productivity;Speed up learning,Very poor at handling complex tasks,Writing code;Debugging and getting help;Generating content or synthetic data,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;They create more work (more code/PRs to review, etc.)",Individual contributor,11.0,None of these,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Manufacturing,20–40,"In group projects, this is pretty much my style: I work best with real-time conversations like quick calls or stand-ups. I enjoy collaborating on direction instead of having a single strong leader. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. I really value respect and clear communication in any team. If something is wrong I prefer to address it directly and talk openly. How strict I am with deadlines depends on the impact and the current workload."
168,"Employed, full-time",5,"Developer, full-stack",20 to 99 employees,C++;JavaScript;Kotlin;Python;SQL;TypeScript,C++;JavaScript;Kotlin;Python;SQL;TypeScript,BigQuery;Cloud Firestore;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Netlify;Vercel,Express;Fastify;Next.js;Node.js;React,.NET (5+) ;NumPy;Pandas,Ansible;Chocolatey;Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);npm;Pip;Terraform;Vite,Android Studio;CLion;DataGrip;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Vim;WebStorm,Android;MacOS;Ubuntu;Windows,ChatGPT;Google Gemini,Speed up learning;Improve accuracy in coding,Very poor at handling complex tasks,Testing code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"Don’t trust the output or answers;They create more work (more code/PRs to review, etc.)",Individual contributor,1.0,Amount of technical debt;Tracking my work;Maintaining security of code being produced,Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Software Development,20–40,"If I had to describe myself as a teammate, I’d say this: Most of the time I like working through written messages and updates instead of constant meetings. I really value respect and clear communication in any team. I’m usually more comfortable supporting whoever is leading and doing my part reliably. In conflict I’m quite straightforward, as long as the discussion stays respectful. I’m quite strict with myself about timelines and like to finish tasks ahead of time. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress."
169,"Employed, full-time",37,"Developer, back-end",100 to 499 employees,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;jQuery;Vue.js,.NET (5+) ;.NET Framework (1.0 - 4.8),MSBuild,Notepad++;Visual Studio;Visual Studio Code,Windows,ChatGPT;GitHub Copilot;Visual Studio Intellicode,Increase productivity;Greater efficiency;Speed up learning,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Imitating a person's likeness,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of executive buy-in;Other (please specify):",Individual contributor,39.0,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;Automated testing;AI-assisted technology tool(s),Hybrid (on-prem and cloud),Software Development,20–40,Here’s how I usually work when I’m in a team. I’m more comfortable when communication is mostly async and I can reply in my own time. I like it when the team shares ownership and we make decisions together. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. I tend to step between viewpoints and look for a solution everyone can live with. Clear deadlines motivate me and I try hard to stick to them.
170,"Employed, full-time",28,Product manager,"10,000 or more employees",Bash/Shell (all shells);C;C++;Python;SQL,Bash/Shell (all shells);C;C++;Python,PostgreSQL,OpenShift,Angular,Pandas;RabbitMQ,Docker;Kubernetes;Make;npm;Pip;Podman;Webpack,IPython;Notepad++;Vim,iOS;MacOS;Other (please specify):,Bing AI;WolframAlpha,Increase productivity;Speed up learning;Other (please specify):,Very poor at handling complex tasks,Learning about a codebase;Writing code;Search for answers,Other (please specify):,Don’t trust the output or answers,Individual contributor,24.0,Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of systems/platforms used in work,Automated testing;AI-assisted technology tool(s);Developer portal or other central places to find tools/services,Hybrid (on-prem and cloud),Government,20–40,"In group projects, this is pretty much my style: I’d describe my natural team role as a Implementer: I’m practical and like turning ideas into concrete steps. I enjoy synchronous communication and like to jump on a call to sort things out fast. I’m okay with different working styles as long as we’re honest about expectations. My discipline around deadlines depends on the situation, but I try to be transparent. In conflict I’m quite straightforward, as long as the discussion stays respectful. I’m usually more comfortable supporting whoever is leading and doing my part reliably."
171,"Student, full-time;Employed, part-time",15,"Developer, full-stack",20 to 99 employees,Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;PowerShell;Python;Rust;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Rust;TypeScript,MongoDB;Neo4J;PostgreSQL,Firebase;Google Cloud;Hetzner;Netlify,Angular;ASP.NET CORE;Node.js;React,Flutter,Docker;Kubernetes;Make;MSBuild;Nix;NuGet;pnpm;Pulumi;Terraform;Visual Studio Solution;Vite,DataGrip;IntelliJ IDEA;Rider;Vim;Visual Studio Code;WebStorm,Android;Windows;Windows Subsystem for Linux (WSL),Bing AI;ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency;Speed up learning,Neither good or bad at handling complex tasks,Writing code;Debugging and getting help;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Other (please specify):",Individual contributor,4.0,Complexity of tech stack for build;Maintaining security of systems/platforms used in work,Automated testing;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Software Development,10–20,"If I had to describe myself as a teammate, I’d say this: I get energy from live discussions and prefer to talk things through directly. I enjoy collaborating on direction instead of having a single strong leader. In conflicts I often act as a mediator and try to understand all sides. I see deadlines more as guides and like to keep them realistic and negotiable. I’d describe my natural team role as a Coordinator: I’m good at organizing and bringing people together."
172,"Employed, full-time",16,"Developer, back-end",100 to 499 employees,Bash/Shell (all shells);C#;PowerShell;SQL,C#;SQL,Cassandra;Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Microsoft Azure,ASP.NET CORE,.NET (5+) ;RabbitMQ,Docker;Kubernetes;MSBuild;NuGet,Notepad++;Rider;Visual Studio;Visual Studio Code,Android;Windows,ChatGPT;Google Gemini;Visual Studio Intellicode,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Neither good or bad at handling complex tasks,Writing code;Documenting code;Search for answers,Missing or incorrect attribution for sources of data;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,13.0,Tracking my work;Complexity of tech stack for build,DevOps function;Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,20–40,"If I had to describe myself as a teammate, I’d say this: I work best with real-time conversations like quick calls or stand-ups. I’m usually more comfortable supporting whoever is leading and doing my part reliably. I’d rather put the issue on the table and discuss it honestly than let it simmer. Clear deadlines motivate me and I try hard to stick to them. I’m okay with different working styles as long as we’re honest about expectations. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress."
173,"Employed, full-time",12,Engineering manager,"5,000 to 9,999 employees",HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,Firebase Realtime Database;MongoDB,Digital Ocean;Firebase;Netlify,Fastify;Gatsby;Next.js;Node.js;React,Electron;React Native,Homebrew;npm;Vite;Webpack;Yarn,Android Studio;Visual Studio Code,MacOS;Windows,ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency;Other (please specify):,"Good, but not great at handling complex tasks",Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data,Lack of proper training and education on new tools;Not everyone uses them;We don’t have the right policies in place to reduce security risks;Other (please specify):,People manager,12.0,None of these,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),"Internet, Telecomm or Information Services",20–40,This is roughly how I behave when I’m collaborating with others. I’m comfortable switching between async and sync communication to fit the situation. I like having a clear direction and focusing on delivering my own tasks well. In conflicts I often act as a mediator and try to understand all sides. I treat deadlines very seriously and plan my work so I don’t deliver late. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together.
174,"Employed, full-time",20,"Developer, full-stack",20 to 99 employees,HTML/CSS;JavaScript;Rust;SQL,HTML/CSS;JavaScript;Rust;SQL,MySQL;SQLite,Amazon Web Services (AWS),Astro;Node.js;Vue.js,RabbitMQ,Docker;Kubernetes;npm;Vite,Neovim;Visual Studio Code,Ubuntu,Codeium,Increase productivity;Greater efficiency,Very poor at handling complex tasks,Writing code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand;Other (please specify):,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,8.0,Complexity of tech stack for deployment;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Other:,40+,"This is roughly how I behave when I’m collaborating with others. I enjoy synchronous communication and like to jump on a call to sort things out fast. I prefer shared leadership where responsibilities and decisions are distributed. If something is wrong I prefer to address it directly and talk openly. I adapt to the project context: sometimes I’m very strict, sometimes more relaxed. I really value respect and clear communication in any team. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress."
175,"Employed, full-time",38,"Developer, full-stack",20 to 99 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;Redis;SQLite,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery;Vue.js,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Chocolatey;Docker;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution,Eclipse;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,Ubuntu;Windows;Windows Subsystem for Linux (WSL),Bing AI,Greater efficiency;Speed up learning,"Good, but not great at handling complex tasks",Writing code;Debugging and getting help;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,36.0,Amount of technical debt;Maintaining security of code being produced;Patching/updating core components;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,5–10,"This is roughly how I behave when I’m collaborating with others. I like a balance of async messages and live discussions, depending on the task. I really value respect and clear communication in any team. I prefer shared leadership where responsibilities and decisions are distributed. I don’t like heavy arguments and tend to step back rather than fight. Clear deadlines motivate me and I try hard to stick to them. I’d describe my natural team role as a Implementer: I’m practical and like turning ideas into concrete steps."
176,"Employed, full-time",7,"Developer, back-end",20 to 99 employees,HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL;TypeScript,HTML/CSS;JavaScript;Lua;PHP;SQL;TypeScript,Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku;Microsoft Azure,Django;Express;Fastify;Flask;jQuery;Laravel;NestJS;Node.js,Cordova;RabbitMQ,Docker;Pip;pnpm,Sublime Text;Visual Studio Code,Android;Windows;Other (please specify):,ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency;Improve accuracy in coding,Very poor at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Generating content or synthetic data,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks",Individual contributor,7.0,Amount of technical debt;Number of software tools in use;Tracking my work;Showing my contributions;Complexity of tech stack for deployment;Complexity of tech stack for build;Reliability of tools/systems used in work,None of these,Cloud only (single or multi-cloud),Retail and Consumer Services,10–20,"If I had to describe myself as a teammate, I’d say this: I usually prefer asynchronous communication so I can think before I answer. I like it when the team shares ownership and we make decisions together. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. I’d rather put the issue on the table and discuss it honestly than let it simmer. I’m okay with different working styles as long as we’re honest about expectations. I’m okay adjusting timelines if the scope changes and everyone is informed."
177,"Employed, full-time",11,Data or business analyst,20 to 99 employees,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Solidity;SQL,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Solidity;SQL,Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS);Databricks;Digital Ocean;Firebase;Google Cloud;PythonAnywhere;VMware,ASP.NET;Django;FastAPI;Flask;React;Remix,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Apache Spark;CUDA;DirectX;Keras;Opencv;Pandas;Qt;React Native;Scikit-Learn;Spring Framework;TensorFlow;Torch/PyTorch;Xamarin,Ansible;APT;Chocolatey;Docker;Gradle;Kubernetes;Maven (build tool);npm;Pip;Terraform;Visual Studio Solution,Android Studio;Eclipse;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Nano;Netbeans;Notepad++;PyCharm;Rider;Spyder;Sublime Text;Visual Studio;Visual Studio Code,Android;Debian;Ubuntu;Windows;Windows Subsystem for Linux (WSL),ChatGPT,Increase productivity;Greater efficiency;Improve accuracy in coding;Make workload more manageable,"Good, but not great at handling complex tasks",Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data,Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",Individual contributor,15.0,Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,Automated testing;Knowledge sharing community,Hybrid (on-prem and cloud),Media & Advertising Services,10–20,"If I had to describe myself as a teammate, I’d say this: For me a mix of chat and meetings works best, and I adapt to what the team needs. I naturally tend to take the lead and organize things when the team needs direction. I’d rather put the issue on the table and discuss it honestly than let it simmer. My discipline around deadlines depends on the situation, but I try to be transparent. I’m okay with different working styles as long as we’re honest about expectations. I’d describe my natural team role as a Coordinator: I’m good at organizing and bringing people together."
178,"Employed, full-time",20,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,C#,C#,Cosmos DB;Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure;Netlify,ASP.NET CORE;Blazor,.NET (5+) ;.NET MAUI,Docker;Homebrew;Kubernetes;MSBuild;NuGet;Pulumi;Puppet,Rider;Visual Studio Code,iOS;iPadOS;MacOS;Windows,Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;You.com,Increase productivity;Speed up learning,Bad at handling complex tasks,Learning about a codebase;Project planning;Writing code;Documenting code;Testing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,Other (please specify):,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",People manager,18.0,None of these,DevOps function;Automated testing;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,10–20,"If I had to describe myself as a teammate, I’d say this: I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. I work best with real-time conversations like quick calls or stand-ups. Clear deadlines motivate me and I try hard to stick to them. I don’t like heavy arguments and tend to step back rather than fight. I try to give constructive feedback and I appreciate it in return. I’m happy to step up, make decisions and keep everyone aligned when necessary."
179,"Employed, full-time",20,"Developer, back-end",100 to 499 employees,Bash/Shell (all shells);C;C#;SQL,Bash/Shell (all shells);C;C#;SQL,Microsoft SQL Server;PostgreSQL;SQLite,Google Cloud;Microsoft Azure,ASP.NET;ASP.NET CORE,.NET (5+) ,Docker;Kubernetes;MSBuild;Terraform,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Android;Windows,GitHub Copilot;Google Gemini;Phind,Speed up learning;Improve accuracy in coding,Neither good or bad at handling complex tasks,Writing code;Documenting code;Debugging and getting help;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,16.0,Amount of technical debt;Number of software tools in use;Tracking my work;Complexity of tech stack for deployment,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Software Development,20–40,"In group projects, this is pretty much my style: I really value respect and clear communication in any team. I usually prefer asynchronous communication so I can think before I answer. I’m happy to step up, make decisions and keep everyone aligned when necessary. I’d describe my natural team role as a Resource-Investigator: I’m curious and like exploring options and opportunities. I’d rather put the issue on the table and discuss it honestly than let it simmer. My discipline around deadlines depends on the situation, but I try to be transparent."
180,"Employed, full-time",34,"Developer, QA or test",10 to 19 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);Python,Databricks SQL;MongoDB;PostgreSQL,Amazon Web Services (AWS);Databricks,FastAPI;Next.js;Node.js,NumPy;Ruff;Tauri,Docker;Homebrew;npm;Pip;Podman,Vim,MacOS;Windows,ChatGPT;GitHub Copilot,Speed up learning,Neither good or bad at handling complex tasks,Writing code;Debugging and getting help;Search for answers,Missing or incorrect attribution for sources of data;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",Individual contributor,28.0,None of these,DevOps function;Automated testing;AI-assisted technology tool(s),Cloud only (single or multi-cloud),Software Development,20–40,This is roughly how I behave when I’m collaborating with others. I enjoy learning from other people’s perspectives and experience. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. Most of the time I like working through written messages and updates instead of constant meetings. Clear deadlines motivate me and I try hard to stick to them. When conflict appears I try to stay calm and avoid unnecessary confrontation. I like having a clear direction and focusing on delivering my own tasks well.
181,"Employed, full-time",25,Engineering manager,"1,000 to 4,999 employees",Go;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,Go;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,MySQL;Redis;SQLite,Google Cloud;Vercel,React,Apache Kafka,Docker;Kubernetes;npm;Terraform,Android Studio;Visual Studio Code,MacOS,ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency;Speed up learning,Neither good or bad at handling complex tasks,Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;They create more work (more code/PRs to review, etc.)",People manager,16.0,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of code being produced;Maintaining security of systems/platforms used in work,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Banking/Financial Services,20–40,This is roughly how I behave when I’m collaborating with others. I usually prefer asynchronous communication so I can think before I answer. I enjoy collaborating on direction instead of having a single strong leader. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. If something is wrong I prefer to address it directly and talk openly. Clear deadlines motivate me and I try hard to stick to them.
182,"Employed, full-time;Student, full-time",7,"Developer, front-end",20 to 99 employees,C;Dart;HTML/CSS;Java;JavaScript;Kotlin;Lua;Rust,HTML/CSS;JavaScript;Kotlin;Lua;Rust,Supabase,Cloudflare;Supabase,Next.js;Node.js;React,Flutter;React Native,Composer;Docker;Gradle;Homebrew;Nix;npm;Pip;pnpm;Vite;Webpack;Yarn,Android Studio;Eclipse;Neovim;Visual Studio;Xcode,Android;Fedora;Other Linux-based;Other (please specify):,Bing AI;ChatGPT;GitHub Copilot;Tabnine,Increase productivity;Greater efficiency;Improve accuracy in coding,"Good, but not great at handling complex tasks",Writing code;Documenting code;Debugging and getting help;Testing code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",Individual contributor,1.0,Tracking my work;Showing my contributions;Complexity of tech stack for deployment;Complexity of tech stack for build;Reliability of tools/systems used in work,DevOps function;Automated testing;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,40+,"In group projects, this is pretty much my style: I like a balance of async messages and live discussions, depending on the task. I like having a clear direction and focusing on delivering my own tasks well. I enjoy learning from other people’s perspectives and experience. I tend to step between viewpoints and look for a solution everyone can live with. I’m quite strict with myself about timelines and like to finish tasks ahead of time. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress."
183,"Employed, full-time",8,"Developer, full-stack",100 to 499 employees,C#;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,C#;Go;HTML/CSS;SQL,MariaDB;MongoDB;MySQL;Redis;SQLite,"Amazon Web Services (AWS);Google Cloud;Linode, now Akamai;Microsoft Azure;Netlify",Express;Laravel;Node.js;React;Spring Boot;Vue.js,.NET (5+) ;RabbitMQ;React Native;Xamarin,Composer;Docker;MSBuild;npm;Vite;Yarn,DataGrip;Goland;IntelliJ IDEA;PhpStorm;Visual Studio;Visual Studio Code;WebStorm,MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode;Whispr AI;You.com,Increase productivity;Speed up learning,Neither good or bad at handling complex tasks,Debugging and getting help;Committing and reviewing code;Search for answers,Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Energy demand,Don’t trust the output or answers;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks;Other (please specify):,Individual contributor,5.0,Amount of technical debt;Number of software tools in use;Complexity of tech stack for build;Maintaining security of code being produced;Patching/updating core components;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Healthcare,5–10,This is roughly how I behave when I’m collaborating with others. I enjoy synchronous communication and like to jump on a call to sort things out fast. I often end up taking ownership of tasks and nudging the team forward. I’d describe my natural team role as a Monitor-Evaluator: I’m analytical and tend to look at pros and cons. I like to help people find common ground and reach a compromise. I’m flexible with deadlines as long as we communicate and keep priorities clear.
